,phi_1,phi_2,phi_3,phi_4
99,0.009418540631520781,0.18619443435905622,0.36030645542248707,0.5874789301803248
100,0.009549903210021585,0.18873066161112428,0.36490024475609434,0.5938861475729731
101,0.009682641913513151,0.19129097059354355,0.3695258490788104,0.6003046748823669
102,0.009816788097011375,0.19387585719403205,0.37418373353351553,0.6067344710170292
103,0.009952373932759943,0.19648582805371737,0.37887436694578336,0.6131754900673274
104,0.010089432438848852,0.19912140086997596,0.3835982217886561,0.6196276812680384
105,0.010227997509011119,0.20178310470835642,0.38835577414216577,0.6260909889625851
106,0.010368103943655413,0.20447148032387774,0.3931475036473475,0.6325653525690204
107,0.01050978748219536,0.2071870804919984,0.3979738934544761,0.6390507065478265
108,0.010653084836739895,0.20993047034956366,0.40283543016525153,0.6455469803716019
109,0.010798033727212518,0.21270222774604483,0.40773260376864967,0.6520540984967045
110,0.010944672917971335,0.2155029436053923,0.4126659075701416,0.6585719803369249
111,0.011093042256005792,0.21833322229883426,0.41763583811398,0.6651005402392538
112,0.011243182710790563,0.22119368202896017,0.42264289509823905,0.6716396874618196
113,0.011395136415881567,0.22408495522543595,0.4276875812822838,0.6781893261540584
114,0.011548946712344306,0.22700768895270726,0.43277040238633796,0.6847493553391903
115,0.011704658194109903,0.2299625453300554,0.4378918669828079,0.6913196688990647
116,0.01186231675536004,0.23295020196437605,0.44305248637901007,0.6979001555614408
117,0.012021969640047996,0.23597135239606282,0.44825277449094264,0.7044906988897714
118,0.012183665493669636,0.2390267065583813,0.4534932477077305,0.7110911772755499
119,0.012347454417405002,0.2421169912507288,0.4587744247463635,0.7177014639332833
120,0.012513388024758734,0.24524295062618098,0.46409682649634093,0.7243214268981523
121,0.012681519500835473,0.24840534669373254,0.46946097585382435,0.7309509290264168
122,0.012851903664394893,0.2516049598356461,0.474867397544894,0.737589827998622
123,0.013024597032840245,0.2548425893403277,0.4803166179374963,0.744237976325662
124,0.013199657890303921,0.25811905395115003,0.4858091648416602,0.7508952213577503
125,0.013377146359004265,0.26143519243165253,0.49134556729755624,0.7575614052963496
126,0.013557124474058919,0.2647918641475448,0.4969263553509648,0.7642363652091076
127,0.013739656261952208,0.2681899496659439,0.5025520598157115,0.7709199330478422
128,0.013924807822866977,0.2716303513722755,0.5082232120226279,0.7776119356696197
129,0.014112647417105315,0.27511399410526705,0.513940343554587,0.7843121948609644
130,0.014303245555837556,0.27864182581045827,0.5197039859671622,0.7910205273652355
